*Soil Inorganic Nitrogen daily output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 14, 2021 09:08:55

*RUN   1        : 20 IRRIG, PETPEN NO KCB.. MZCER047 KSRT2001    1
 MODEL          : MZCER047 - Maize
 EXPERIMENT     : KSRT2001 SB ARM 2020 KS, IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, PETPEN NO KCB.. MZCER047
  
!                                                                                                                                      NO3 (ppm) at soil dep. (cm):                                    NH4 (ppm) at soil dep. (cm):                                    Total Inorganic N @dep(ppm):
!                                                                                                                                       0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201     0-5    5-15   15-29   29-43   43-53   53-64  64-132 132-201
@YEAR DOY   DAS  NAPC  NI#M    NIAD    NITD    NHTD   NURTD    NMNC    NITC    NDNC    NIMC    AMLC   NNMNC    NUCM    NLCC    TDNC    NI1D    NI2D    NI3D    NI4D    NI5D    NI6D    NI7D    NI8D    NH1D    NH2D    NH3D    NH4D    NH5D    NH6D    NH7D    NH8D    NT1D    NT2D    NT3D    NT4D    NT5D    NT6D    NT7D    NT8D    
 2020 184    79     0     0    52.5    51.3     1.2     0.0   72.74   73.97    0.00    0.00    0.00   72.74   42.13    0.00    0.00    0.43     0.4     0.5    2.90    1.38    2.57    2.43    2.31    0.16    0.09    0.06    0.03    0.03    0.06    0.04    0.05    0.58    0.45    0.60    2.94    1.41    2.63    2.47    2.35
 2020 185    80     0     0    51.7    50.6     1.1     0.0   73.61   74.91    0.00    0.00    0.00   73.61   43.75    0.00    0.00    0.41     0.3     0.4    2.85    1.20    2.07    2.46    2.33    0.12    0.07    0.06    0.03    0.03    0.04    0.04    0.05    0.53    0.41    0.50    2.88    1.23    2.11    2.50    2.38
 2020 186    81     0     0    51.5    50.4     1.1     0.0   74.42   75.76    0.00    0.00    0.00   74.42   44.83    0.00    0.00    0.47     0.3     0.4    2.81    1.07    1.77    2.49    2.36    0.09    0.07    0.06    0.03    0.03    0.03    0.04    0.05    0.56    0.39    0.44    2.84    1.10    1.80    2.53    2.40
 2020 187    82     0     0    51.5    50.4     1.1     0.0   75.17   76.53    0.00    0.00    0.00   75.17   45.54    0.00    0.00    0.56     0.3     0.4    2.79    0.98    1.58    2.52    2.38    0.08    0.06    0.05    0.03    0.02    0.03    0.04    0.05    0.64    0.37    0.41    2.83    1.01    1.60    2.56    2.43
 2020 188    83     0     0    51.7    50.6     1.1     0.0   75.88   77.23    0.00    0.00    0.00   75.88   46.04    0.00    0.00    0.64     0.3     0.3    2.80    0.91    1.45    2.54    2.41    0.08    0.06    0.05    0.04    0.02    0.03    0.04    0.05    0.72    0.36    0.39    2.84    0.94    1.47    2.59    2.45
 2020 189    84     0     0    52.0    50.9     1.1     0.0   76.56   77.92    0.00    0.00    0.00   76.56   46.41    0.00    0.00    0.71     0.3     0.3    2.83    0.86    1.35    2.57    2.43    0.07    0.05    0.05    0.04    0.02    0.02    0.04    0.05    0.78    0.36    0.37    2.86    0.89    1.37    2.62    2.48
 2020 190    85     0     0    52.3    51.3     1.1     0.0   77.22   78.59    0.00    0.00    0.00   77.22   46.77    0.00    0.00    0.77     0.3     0.3    2.85    0.82    1.28    2.59    2.45    0.07    0.05    0.05    0.04    0.02    0.02    0.05    0.05    0.84    0.37    0.37    2.89    0.85    1.30    2.64    2.50
 2020 191    86     0     0    52.6    51.6     1.0     0.0   77.86   79.27    0.00    0.00    0.00   77.86   47.12    0.00    0.00    0.83     0.3     0.3    2.88    0.79    1.23    2.60    2.48    0.06    0.05    0.04    0.04    0.02    0.02    0.04    0.05    0.89    0.39    0.37    2.91    0.82    1.25    2.65    2.53
 2020 192    87     0     0    52.9    51.9     1.0     0.0   78.49   79.92    0.00    0.00    0.00   78.49   47.46    0.00    0.00    0.88     0.4     0.3    2.90    0.77    1.19    2.61    2.50    0.06    0.05    0.04    0.04    0.02    0.02    0.04    0.05    0.94    0.41    0.38    2.94    0.79    1.21    2.65    2.55
 2020 193    88     0     0    53.2    52.2     1.0     0.0   79.12   80.57    0.00    0.00    0.00   79.12   47.84    0.00    0.00    0.93     0.4     0.3    2.93    0.75    1.17    2.61    2.53    0.06    0.04    0.04    0.03    0.02    0.02    0.04    0.05    0.99    0.44    0.38    2.96    0.77    1.18    2.65    2.58
 2020 194    89     0     0    53.4    52.4     1.0     0.0   79.74   81.21    0.00    0.00    0.00   79.74   48.21    0.00    0.00    0.98     0.4     0.4    2.95    0.74    1.15    2.60    2.55    0.06    0.04    0.04    0.03    0.02    0.02    0.04    0.05    1.04    0.48    0.40    2.99    0.76    1.17    2.64    2.60
 2020 195    90     0     0    53.7    52.7     1.0     0.0   80.36   81.83    0.00    0.00    0.00   80.36   48.58    0.00    0.00    1.02     0.5     0.4    2.98    0.73    1.14    2.60    2.58    0.06    0.04    0.04    0.03    0.02    0.02    0.04    0.05    1.08    0.51    0.41    3.01    0.75    1.15    2.63    2.62
 2020 196    91     0     0    53.9    52.9     1.0     0.0   80.96   82.43    0.00    0.00    0.00   80.96   48.95    0.00    0.00    1.07     0.5     0.4    3.00    0.72    1.13    2.58    2.60    0.06    0.04    0.04    0.04    0.02    0.02    0.04    0.05    1.13    0.55    0.43    3.04    0.74    1.15    2.62    2.65
 2020 197    92     0     0    54.1    53.1     1.0     0.0   81.56   83.02    0.00    0.00    0.00   81.56   49.37    0.00    0.00    1.12     0.5     0.4    3.03    0.72    1.13    2.56    2.62    0.06    0.04    0.04    0.04    0.02    0.02    0.04    0.05    1.19    0.58    0.45    3.06    0.74    1.15    2.60    2.67
 2020 198    93     0     0    54.2    53.2     1.0     0.0   82.13   83.60    0.00    0.00    0.00   82.13   49.80    0.00    0.00    1.18     0.6     0.4    3.05    0.72    1.13    2.54    2.65    0.06    0.05    0.04    0.04    0.02    0.02    0.04    0.05    1.24    0.62    0.47    3.09    0.74    1.15    2.57    2.70
 2020 199    94     0     0    54.3    53.3     1.0     0.0   82.69   84.15    0.00    0.00    0.00   82.69   50.30    0.00    0.00    1.23     0.6     0.5    3.07    0.72    1.14    2.50    2.67    0.06    0.05    0.04    0.04    0.02    0.02    0.04    0.05    1.29    0.65    0.50    3.11    0.74    1.16    2.54    2.72
 2020 200    95     0     0    54.1    53.1     1.0     0.0   83.27   84.72    0.00    0.00    0.00   83.27   51.04    0.00    0.00    1.03     0.6     0.5    3.10    0.72    1.15    2.45    2.69    0.09    0.05    0.04    0.04    0.02    0.02    0.04    0.05    1.12    0.69    0.53    3.13    0.74    1.17    2.49    2.74
 2020 201    96     0     0    53.7    52.7     1.0     0.0   83.89   85.31    0.00    0.00    0.00   83.89   52.06    0.00    0.00    0.50     0.7     0.5    3.12    0.73    1.17    2.40    2.72    0.16    0.05    0.04    0.04    0.02    0.02    0.04    0.05    0.66    0.72    0.56    3.16    0.75    1.18    2.43    2.77
 2020 202    97     0     0    53.5    52.4     1.0     0.0   84.50   85.92    0.00    0.00    0.00   84.50   52.89    0.00    0.00    0.39     0.7     0.5    3.15    0.73    1.18    2.34    2.74    0.16    0.05    0.04    0.04    0.02    0.02    0.03    0.05    0.55    0.76    0.58    3.18    0.75    1.19    2.37    2.79
 2020 203    98     0     0    53.2    52.2     1.0     0.0   85.08   86.55    0.00    0.00    0.00   85.08   53.72    0.00    0.00    0.40     0.7     0.6    3.17    0.74    1.19    2.27    2.76    0.12    0.05    0.04    0.04    0.02    0.02    0.03    0.05    0.52    0.79    0.61    3.21    0.76    1.21    2.30    2.81
 2020 204    99     0     0    52.9    52.0     1.0     0.0   85.64   87.13    0.00    0.00    0.00   85.64   54.55    0.00    0.00    0.44     0.8     0.6    3.19    0.75    1.20    2.20    2.79    0.10    0.05    0.04    0.04    0.02    0.02    0.03    0.05    0.54    0.82    0.64    3.23    0.77    1.22    2.23    2.84
 2020 205   100     0     0    52.8    51.8     0.9     0.0   86.18   87.69    0.00    0.00    0.00   86.18   55.27    0.00    0.00    0.53     0.8     0.6    3.22    0.76    1.21    2.13    2.81    0.09    0.05    0.04    0.04    0.02    0.02    0.03    0.05    0.62    0.85    0.67    3.25    0.78    1.23    2.16    2.86
 2020 206   101     0     0    52.6    51.7     0.9     0.0   86.70   88.22    0.00    0.00    0.00   86.70   55.92    0.00    0.00    0.62     0.8     0.7    3.24    0.77    1.22    2.07    2.83    0.08    0.05    0.04    0.04    0.02    0.02    0.03    0.05    0.70    0.88    0.70    3.28    0.79    1.24    2.10    2.88
 2020 207   102     0     0    52.6    51.7     0.9     0.0   87.22   88.76    0.00    0.00    0.00   87.22   56.47    0.00    0.00    0.70     0.9     0.7    3.26    0.78    1.23    2.02    2.86    0.07    0.05    0.04    0.04    0.02    0.02    0.03    0.05    0.77    0.91    0.73    3.30    0.80    1.25    2.04    2.90
 2020 208   103     0     0    52.6    51.8     0.9     0.0   87.73   89.30    0.00    0.00    0.00   87.73   56.94    0.00    0.00    0.23     1.0     0.9    3.29    0.80    1.25    1.98    2.88    0.07    0.04    0.03    0.04    0.02    0.02    0.02    0.05    0.29    1.00    0.92    3.32    0.81    1.26    2.00    2.93
 2020 209   104     0     0    52.1    50.9     1.1     0.0   88.46   89.78    0.00    0.00    0.00   88.46   58.25    0.00    0.00    0.24     0.5     0.7    3.31    0.81    1.26    1.94    2.90    0.20    0.18    0.05    0.04    0.02    0.02    0.02    0.05    0.44    0.66    0.79    3.35    0.82    1.27    1.97    2.95
 2020 210   105     0     0    51.7    50.4     1.3     0.0   89.21   90.37    0.00    0.00    0.00   89.21   59.33    0.00    0.00    0.31     0.3     0.6    3.32    0.82    1.27    1.91    2.93    0.28    0.26    0.06    0.04    0.02    0.02    0.02    0.05    0.60    0.58    0.63    3.35    0.84    1.29    1.93    2.97
 2020 211   106     0     0    51.6    50.5     1.2     0.0   89.93   91.19    0.00    0.00    0.00   89.93   60.14    0.00    0.00    0.43     0.5     0.5    3.30    0.85    1.30    1.87    2.94    0.21    0.20    0.07    0.04    0.02    0.02    0.02    0.05    0.64    0.66    0.55    3.34    0.86    1.31    1.89    2.99
 2020 212   107     0     0    51.3    50.1     1.2     0.0   90.63   91.85    0.00    0.00    0.00   90.63   61.16    0.00    0.00    0.32     0.4     0.4    3.29    0.87    1.32    1.84    2.96    0.29    0.19    0.07    0.04    0.02    0.02    0.02    0.05    0.61    0.59    0.48    3.33    0.88    1.33    1.86    3.01
 2020 213   108     0     0    51.2    49.9     1.2     0.0   91.30   92.53    0.00    0.00    0.00   91.30   61.98    0.00    0.00    0.45     0.4     0.4    3.25    0.90    1.34    1.81    2.98    0.23    0.20    0.08    0.04    0.02    0.02    0.02    0.05    0.68    0.57    0.48    3.29    0.91    1.36    1.83    3.03
 2020 214   109     0     0    51.0    49.7     1.2     0.0   91.94   93.16    0.00    0.00    0.00   91.94   62.83    0.00    0.00    0.39     0.4     0.3    3.27    0.91    1.35    1.77    3.00    0.22    0.20    0.08    0.04    0.02    0.02    0.02    0.05    0.61    0.57    0.38    3.31    0.92    1.37    1.80    3.05
 2020 215   110     0     0    50.9    49.7     1.2     0.0   92.57   93.82    0.00    0.00    0.00   92.57   63.48    0.00    0.00    0.39     0.4     0.3    3.29    0.92    1.36    1.75    3.02    0.19    0.20    0.08    0.04    0.02    0.02    0.02    0.05    0.58    0.57    0.38    3.33    0.93    1.38    1.77    3.07
 2020 216   111     0     0    50.9    49.7     1.2     0.0   93.18   94.47    0.00    0.00    0.00   93.18   64.12    0.00    0.00    0.37     0.4     0.3    3.31    0.93    1.37    1.72    3.04    0.16    0.18    0.08    0.04    0.02    0.02    0.02    0.05    0.53    0.56    0.38    3.35    0.94    1.39    1.74    3.09
 2020 217   112     0     0    50.9    49.7     1.2     0.0   93.78   95.06    0.00    0.00    0.00   93.78   64.75    0.00    0.00    0.34     0.4     0.3    3.33    0.94    1.38    1.69    3.06    0.19    0.17    0.07    0.04    0.02    0.02    0.02    0.05    0.53    0.53    0.37    3.37    0.95    1.40    1.71    3.11
 2020 218   113     0     0    50.9    49.7     1.2     0.0   94.38   95.67    0.00    0.00    0.00   94.38   65.32    0.00    0.00    0.37     0.4     0.3    3.35    0.95    1.39    1.67    3.09    0.20    0.16    0.07    0.04    0.02    0.02    0.02    0.05    0.57    0.51    0.37    3.39    0.96    1.41    1.69    3.14
 2020 219   114     0     0    50.9    49.8     1.1     0.0   94.95   96.27    0.00    0.00    0.00   94.95   65.90    0.00    0.00    0.31     0.4     0.3    3.37    0.96    1.40    1.64    3.11    0.20    0.14    0.07    0.04    0.02    0.02    0.02    0.05    0.50    0.52    0.37    3.41    0.97    1.42    1.66    3.16
 2020 220   115     0     0    50.9    49.8     1.2     0.0   95.55   96.84    0.00    0.00    0.00   95.55   66.45    0.00    0.00    0.37     0.3     0.3    3.39    0.97    1.41    1.62    3.13    0.20    0.16    0.07    0.04    0.02    0.02    0.02    0.05    0.57    0.49    0.36    3.43    0.98    1.43    1.64    3.18
 2020 221   116     0     0    51.0    49.9     1.1     0.0   96.15   97.45    0.00    0.00    0.00   96.15   66.98    0.00    0.00    0.38     0.3     0.3    3.41    0.98    1.42    1.59    3.15    0.21    0.16    0.07    0.04    0.02    0.02    0.02    0.05    0.59    0.50    0.36    3.45    1.00    1.44    1.61    3.20
 2020 222   117     0     0    51.0    50.0     1.1     0.0   96.75   98.11    0.00    0.00    0.00   96.75   67.53    0.00    0.00    0.40     0.4     0.3    3.43    0.99    1.43    1.57    3.18    0.18    0.14    0.07    0.04    0.02    0.02    0.02    0.05    0.58    0.49    0.36    3.47    1.01    1.45    1.59    3.22
 2020 223   118     0     0    51.1    50.1     1.0     0.0   97.33   98.78    0.00    0.00    0.00   97.33   68.10    0.00    0.00    0.39     0.4     0.3    3.46    1.00    1.44    1.55    3.20    0.14    0.11    0.06    0.04    0.02    0.02    0.02    0.05    0.53    0.46    0.36    3.49    1.02    1.46    1.57    3.25
 2020 224   119     0     0    51.1    50.2     0.9     0.0   97.90   99.40    0.00    0.00    0.00   97.90   68.62    0.00    0.00    0.42     0.3     0.3    3.48    1.01    1.45    1.53    3.22    0.11    0.08    0.06    0.04    0.02    0.02    0.02    0.05    0.53    0.42    0.36    3.52    1.03    1.47    1.55    3.27
 2020 225   120     0     0    51.2    50.3     0.9     0.0   98.45  100.00    0.00    0.00    0.00   98.45   69.05    0.00    0.00    0.51     0.3     0.3    3.51    1.02    1.47    1.51    3.25    0.09    0.07    0.05    0.04    0.02    0.02    0.02    0.05    0.60    0.39    0.35    3.54    1.04    1.48    1.53    3.30
 2020 226   121     0     0    51.4    50.5     0.9     0.0   98.98  100.55    0.00    0.00    0.00   98.98   69.43    0.00    0.00    0.59     0.3     0.3    3.53    1.04    1.48    1.50    3.27    0.08    0.06    0.05    0.04    0.02    0.02    0.02    0.05    0.68    0.37    0.35    3.57    1.05    1.49    1.52    3.32
 2020 227   122     0     0    51.5    50.7     0.9     0.0   99.49  101.08    0.00    0.00    0.00   99.49   69.77    0.00    0.00    0.66     0.3     0.3    3.55    1.05    1.49    1.48    3.29    0.07    0.06    0.05    0.04    0.02    0.02    0.02    0.05    0.74    0.36    0.34    3.59    1.06    1.51    1.50    3.34
 2020 228   123     0     0    51.7    50.9     0.9     0.0   99.98  101.58    0.00    0.00    0.00   99.98   70.07    0.00    0.00    0.72     0.3     0.3    3.58    1.06    1.50    1.47    3.32    0.07    0.06    0.05    0.04    0.02    0.02    0.02    0.05    0.79    0.36    0.34    3.61    1.08    1.52    1.49    3.37
 2020 229   124     0     0    51.9    51.1     0.8     0.0  100.46  102.06    0.00    0.00    0.00  100.46   70.34    0.00    0.00    0.78     0.3     0.3    3.60    1.07    1.51    1.46    3.34    0.07    0.05    0.05    0.04    0.02    0.02    0.02    0.05    0.85    0.37    0.34    3.64    1.09    1.53    1.48    3.39
 2020 230   125     0     0    52.2    51.3     0.9     0.0  100.94  102.54    0.00    0.00    0.00  100.94   70.57    0.00    0.00    0.53     0.5     0.3    3.62    1.08    1.52    1.45    3.36    0.08    0.05    0.05    0.04    0.02    0.02    0.02    0.05    0.62    0.54    0.35    3.66    1.10    1.54    1.47    3.41
 2020 231   126     0     0    52.1    51.1     1.0     0.0  101.52  103.00    0.00    0.00    0.00  101.52   71.24    0.00    0.00    0.28     0.3     0.3    3.64    1.09    1.53    1.44    3.38    0.20    0.09    0.04    0.04    0.02    0.02    0.02    0.05    0.48    0.38    0.36    3.68    1.11    1.55    1.46    3.43
 2020 232   127     0     0    52.4    51.5     1.0     0.0  102.09  103.59    0.00    0.00    0.00  102.09   71.49    0.00    0.00    0.46     0.3     0.5    3.52    1.15    1.54    1.43    3.39    0.19    0.09    0.04    0.04    0.02    0.02    0.02    0.05    0.65    0.41    0.59    3.55    1.16    1.56    1.45    3.43
 2020 233   128     0     0    52.6    51.6     0.9     0.0  102.65  104.17    0.00    0.00    0.00  102.65   71.90    0.00    0.00    0.40     0.3     0.6    3.54    1.16    1.55    1.43    3.41    0.18    0.08    0.04    0.04    0.02    0.02    0.02    0.05    0.58    0.40    0.59    3.58    1.17    1.57    1.44    3.46
 2020 234   129     0     0    52.7    51.8     0.9     0.0  103.18  104.72    0.00    0.00    0.00  103.18   72.26    0.00    0.00    0.39     0.3     0.6    3.56    1.17    1.57    1.42    3.43    0.14    0.08    0.04    0.04    0.02    0.02    0.02    0.05    0.54    0.39    0.60    3.60    1.19    1.58    1.43    3.48
 2020 235   130     0     0    53.0    52.1     0.9     0.0  103.68  105.25    0.00    0.00    0.00  103.68   72.54    0.00    0.00    0.46     0.3     0.6    3.59    1.18    1.58    1.41    3.45    0.11    0.07    0.04    0.04    0.02    0.02    0.02    0.05    0.57    0.38    0.60    3.62    1.20    1.59    1.43    3.50
 2020 236   131     0     0    53.2    52.4     0.9     0.0  104.17  105.76    0.00    0.00    0.00  104.17   72.77    0.00    0.00    0.55     0.3     0.6    3.61    1.19    1.59    1.40    3.48    0.09    0.07    0.04    0.04    0.02    0.02    0.02    0.05    0.64    0.37    0.61    3.65    1.21    1.60    1.42    3.53
 2020 237   132     0     0    53.5    52.6     0.8     0.0  104.65  106.26    0.00    0.00    0.00  104.65   72.98    0.00    0.00    0.42     0.4     0.6    3.63    1.20    1.60    1.40    3.50    0.08    0.06    0.04    0.04    0.02    0.02    0.02    0.05    0.50    0.47    0.63    3.67    1.22    1.61    1.41    3.55
 2020 238   133     0     0    53.7    52.7     0.9     0.0  105.23  106.73    0.00    0.00    0.00  105.23   73.40    0.00    0.00    0.28     0.3     0.6    3.66    1.21    1.61    1.39    3.52    0.21    0.09    0.04    0.04    0.02    0.02    0.01    0.05    0.48    0.39    0.66    3.69    1.23    1.63    1.41    3.57
 2020 239   134     0     0    54.1    53.1     0.9     0.0  105.82  107.35    0.00    0.00    0.00  105.82   73.58    0.00    0.00    0.49     0.4     0.9    3.50    1.27    1.61    1.39    3.52    0.18    0.09    0.03    0.04    0.02    0.02    0.01    0.05    0.67    0.45    0.93    3.54    1.29    1.63    1.41    3.57
 2020 240   135     0     0    54.2    53.3     0.9     0.0  106.39  107.96    0.00    0.00    0.00  106.39   73.97    0.00    0.00    0.42     0.3     0.9    3.53    1.29    1.63    1.39    3.54    0.17    0.08    0.03    0.04    0.02    0.02    0.01    0.05    0.58    0.40    0.96    3.56    1.30    1.64    1.40    3.59
 2020 241   136     0     0    54.5    53.6     0.8     0.0  106.94  108.54    0.00    0.00    0.00  106.94   74.27    0.00    0.00    0.23     0.3     1.0    3.55    1.30    1.64    1.39    3.57    0.13    0.07    0.03    0.03    0.02    0.02    0.01    0.05    0.36    0.39    1.06    3.59    1.31    1.65    1.40    3.61
 2020 242   137     0     0    54.4    53.4     1.1     0.0  107.68  109.04    0.00    0.00    0.00  107.68   75.05    0.00    0.00    0.34     0.3     0.7    3.58    1.31    1.65    1.39    3.59    0.17    0.21    0.06    0.03    0.02    0.02    0.01    0.05    0.51    0.47    0.77    3.61    1.33    1.67    1.40    3.64
 2020 243   138     0     0    54.6    53.3     1.3     0.0  108.42  109.59    0.00    0.00    0.00  108.42   75.62    0.00    0.00    0.31     0.3     0.6    3.54    1.34    1.65    1.38    3.60    0.27    0.29    0.08    0.04    0.02    0.02    0.01    0.05    0.58    0.61    0.69    3.57    1.35    1.67    1.40    3.65
 2020 244   139     0     0    54.8    53.6     1.1     0.0  109.16  110.47    0.00    0.00    0.00  109.16   76.19    0.00    0.00    0.39     0.5     0.7    3.44    1.37    1.65    1.39    3.60    0.21    0.21    0.08    0.04    0.02    0.02    0.01    0.05    0.59    0.68    0.79    3.48    1.39    1.67    1.40    3.65
 2020 245   140     0     0    54.7    53.3     1.4     0.0  109.91  110.99    0.00    0.00    0.00  109.91   77.04    0.00    0.00    0.32     0.3     0.6    3.41    1.39    1.65    1.38    3.62    0.29    0.30    0.12    0.04    0.02    0.02    0.01    0.05    0.61    0.59    0.72    3.45    1.41    1.67    1.40    3.67
 2020 246   141     0     0    54.9    53.4     1.4     0.0  110.63  111.64    0.00    0.00    0.00  110.63   77.57    0.00    0.00    0.45     0.3     0.6    3.37    1.41    1.65    1.39    3.63    0.24    0.35    0.14    0.04    0.02    0.02    0.01    0.05    0.69    0.68    0.73    3.40    1.43    1.67    1.40    3.68
 2020 247   142     0     0    54.9    53.6     1.4     0.0  111.32  112.41    0.00    0.00    0.00  111.32   78.20    0.00    0.00    0.42     0.5     0.6    3.28    1.44    1.65    1.39    3.63    0.23    0.27    0.15    0.04    0.02    0.02    0.01    0.05    0.65    0.72    0.79    3.32    1.46    1.67    1.40    3.68
 2020 248   143     0     0    54.8    53.5     1.3     0.0  112.02  113.15    0.00    0.00    0.00  112.02   79.00    0.00    0.00    0.39     0.4     0.5    3.31    1.45    1.66    1.39    3.65    0.22    0.24    0.15    0.04    0.02    0.02    0.01    0.05    0.61    0.64    0.66    3.34    1.47    1.68    1.40    3.70
 2020 249   144     0     0    54.9    53.6     1.3     0.0  112.72  113.86    0.00    0.00    0.00  112.72   79.64    0.00    0.00    0.38     0.4     0.4    3.33    1.46    1.67    1.39    3.67    0.21    0.22    0.16    0.04    0.02    0.02    0.01    0.05    0.59    0.61    0.57    3.37    1.48    1.69    1.40    3.72
 2020 250   145     0     0    55.0    53.8     1.3     0.0  113.44  114.62    0.00    0.00    0.00  113.44   80.19    0.00    0.00    0.39     0.4     0.4    3.35    1.47    1.68    1.39    3.70    0.19    0.21    0.15    0.04    0.02    0.02    0.01    0.05    0.57    0.61    0.52    3.39    1.49    1.70    1.40    3.75
 2020 251   146     0     0    55.3    54.1     1.2     0.0  114.18  115.43    0.00    0.00    0.00  114.18   80.71    0.00    0.00    0.29     0.4     0.4    3.37    1.48    1.69    1.39    3.72    0.15    0.20    0.14    0.04    0.02    0.02    0.01    0.05    0.44    0.63    0.52    3.41    1.50    1.71    1.40    3.77
 2020 252   147     0     0    55.5    54.2     1.4     0.0  114.98  116.05    0.00    0.00    0.00  114.98   81.23    0.00    0.00    0.24     0.3     0.4    3.40    1.50    1.70    1.39    3.75    0.25    0.29    0.15    0.04    0.02    0.02    0.01    0.05    0.49    0.59    0.53    3.43    1.51    1.72    1.40    3.80
 2020 253   148     0     0    56.0    54.4     1.5     0.0  115.73  116.63    0.00    0.00    0.00  115.73   81.57    0.00    0.00    0.19     0.3     0.4    3.45    1.51    1.70    1.39    3.77    0.33    0.37    0.15    0.04    0.02    0.02    0.01    0.05    0.53    0.64    0.56    3.49    1.52    1.72    1.40    3.81
 2020 254   149     0     0    54.3    52.5     1.8     0.0  116.39  117.03    0.00    0.00    0.00  116.39   83.87    0.00    0.00    0.23     0.3     0.3    2.25    1.52    1.71    1.39    3.79    0.39    0.43    0.22    0.07    0.02    0.02    0.01    0.05    0.62    0.71    0.53    2.32    1.53    1.73    1.40    3.83
 2020 255   150     0     0    53.3    51.4     2.0     0.0  116.96  117.41    0.00    0.00    0.00  116.96   85.41    0.00    0.00    0.28     0.3     0.3    1.49    1.52    1.71    1.39    3.80    0.43    0.46    0.26    0.09    0.02    0.02    0.01    0.05    0.71    0.75    0.54    1.58    1.54    1.73    1.40    3.85
 2020 256   151     0     0    52.8    50.7     2.1     0.0  117.45  117.80    0.00    0.00    0.00  117.45   86.45    0.00    0.00    0.33     0.3     0.3    1.04    1.54    1.70    1.39    3.80    0.44    0.47    0.29    0.10    0.02    0.02    0.01    0.05    0.77    0.77    0.59    1.14    1.56    1.72    1.40    3.85
 2020 257   152     0     0    52.4    50.4     2.0     0.0  117.91  118.38    0.00    0.00    0.00  117.91   87.30    0.00    0.00    0.39     0.4     0.3    0.79    1.55    1.69    1.39    3.79    0.40    0.41    0.26    0.11    0.02    0.02    0.01    0.05    0.79    0.78    0.60    0.90    1.57    1.71    1.41    3.84
 2020 258   153     0     0    52.1    50.2     1.9     0.0  118.45  119.03    0.00    0.00    0.00  118.45   88.19    0.00    0.00    0.37     0.4     0.3    0.54    1.56    1.70    1.39    3.81    0.35    0.36    0.24    0.12    0.02    0.02    0.01    0.05    0.72    0.74    0.57    0.66    1.58    1.72    1.41    3.86
 2020 259   154     0     0    52.0    50.2     1.7     0.0  119.11  119.81    0.00    0.00    0.00  119.11   88.91    0.00    0.00    0.29     0.4     0.4    0.42    1.57    1.71    1.39    3.83    0.30    0.31    0.22    0.12    0.02    0.02    0.01    0.05    0.59    0.71    0.59    0.54    1.59    1.73    1.41    3.88
 2020 260   155     0     0    52.1    50.1     2.0     0.0  119.86  120.34    0.00    0.00    0.00  119.86   89.59    0.00    0.00    0.32     0.3     0.3    0.45    1.59    1.70    1.40    3.83    0.38    0.38    0.27    0.14    0.02    0.02    0.01    0.05    0.69    0.67    0.55    0.59    1.61    1.72    1.42    3.88
 2020 261   156     0     0    52.4    50.4     2.0     0.0  120.66  121.08    0.00    0.00    0.00  120.66   90.02    0.00    0.00    0.48     0.3     0.3    0.41    1.60    1.70    1.41    3.85    0.29    0.42    0.32    0.14    0.02    0.02    0.01    0.05    0.77    0.75    0.62    0.55    1.61    1.72    1.42    3.90
 2020 262   157     0     0    52.6    50.9     1.8     0.0  121.45  122.14    0.00    0.00    0.00  121.45   90.61    0.00    0.00    0.44     0.5     0.4    0.43    1.61    1.70    1.41    3.85    0.26    0.31    0.24    0.15    0.02    0.02    0.01    0.05    0.69    0.78    0.66    0.58    1.63    1.72    1.43    3.90
 2020 263   158     0     0    52.5    50.9     1.6     0.0  122.24  123.04    0.00    0.00    0.00  122.24   91.52    0.00    0.00    0.39     0.4     0.4    0.36    1.62    1.71    1.42    3.87    0.24    0.27    0.21    0.15    0.02    0.02    0.01    0.05    0.63    0.68    0.60    0.51    1.64    1.73    1.43    3.92
 2020 264   159     0     0    52.6    51.0     1.6     0.0  123.02  123.89    0.00    0.00    0.00  123.02   92.23    0.00    0.00    0.38     0.4     0.4    0.33    1.63    1.72    1.42    3.90    0.23    0.25    0.19    0.16    0.02    0.02    0.01    0.05    0.61    0.64    0.55    0.49    1.65    1.73    1.43    3.95
 2020 265   160     0     0    52.8    51.2     1.5     0.0  123.82  124.72    0.00    0.00    0.00  123.82   92.83    0.00    0.00    0.27     0.4     0.4    0.35    1.64    1.73    1.43    3.92    0.21    0.23    0.18    0.16    0.02    0.02    0.01    0.05    0.48    0.62    0.55    0.51    1.66    1.74    1.44    3.97
 2020 266   161     0     0    53.0    51.2     1.8     0.0  124.64  125.27    0.00    0.00    0.00  124.64   93.39    0.00    0.00    0.31     0.3     0.3    0.48    1.66    1.72    1.44    3.91    0.30    0.32    0.25    0.16    0.02    0.02    0.01    0.05    0.61    0.60    0.52    0.64    1.68    1.74    1.45    3.96
